Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.14,548.97,1/5/2019,1:08 PM,Ewallet,522.83,4.76,26.14,9.10
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29 AM,Cash,76.40,4.76,3.82,9.60
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,16.22,340.53,3/3/2019,1:23 PM,Credit card,324.31,4.76,16.22,7.40
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,23.29,489.05,1/27/2019,8:33 PM,Ewallet,465.76,4.76,23.29,8.40
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.21,634.38,2/8/2019,10:37 AM,Ewallet,604.17,4.76,30.21,5.30
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.89,627.62,3/25/2019,6:30 PM,Ewallet,597.73,4.76,29.89,4.10
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.65,433.69,2/25/2019,2:36 PM,Ewallet,413.04,4.76,20.65,5.80
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38 AM,Ewallet,735.60,4.76,36.78,8.00
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,2,3.63,76.15,1/10/2019,5:15 PM,Credit card,72.52,4.76,3.63,7.20
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,8.23,172.75,2/20/2019,1:27 PM,Credit card,164.52,4.76,8.23,5.90
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,2.90,60.82,2/6/2019,6:07 PM,Ewallet,57.92,4.76,2.90,4.50
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.10,107.14,3/9/2019,5:03 PM,Cash,102.04,4.76,5.10,6.80
